ID;Приоритет;Статус;Компонент;Проблема;Источник;Влияние;Рекомендация;Проверка NX 2512;Результат повторной проверки;Комментарий повторной проверки
ARCH-001;P1;Подтверждено кодом;Core / Engine;План строится до анализа модели.;src/NxEskd.Core/Runtime/DrawingEngine.cs:30-40;Габариты, классификация детали, PMI и состав сборки не могут влиять на выбор листа, масштаба и операций.;"Перестроить поток: Load → Normalize → AnalyzeSnapshot → Plan; в Core передавать неизменяемый ModelSnapshot.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
ARCH-002;P1;Подтверждено кодом;Core / Planning;DrawingPlan описывает только листы, виды и значения штампа.;src/NxEskd.Core/Planning/DrawingPlan.cs:3-38;Большая часть профиля не представлена операциями и не может быть объяснена, сравнена или безопасно исполнена.;Ввести DrawingOperation с OperationId, TargetId, ChangeKind, Dependencies, Preconditions и Payload.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
ARCH-003;P2;Подтверждено кодом;Core / Layout;LayoutSolver не подключен к фактическому NX-потоку.;"src/NxEskd.Core/Layout/LayoutSolver.cs; src/NxEskd.NxRuntime/NxViewService.cs:185-216";"Preview и Runtime используют разные модели компоновки; коллизии не предотвращаются.";Планировать прямоугольники в Core, после измерения фактических bounds выполнить второй детерминированный layout pass.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
ARCH-004;P1;Подтверждено кодом;Core / Planning;Нет DAG, топологической сортировки и проверки циклов зависимостей видов.;src/NxEskd.Core/Planning/DrawingPlanner.cs:19-60;"Проекционный/разрезный вид может исполняться до родителя; циклы обнаружатся только во время NX-операции.";Разрешать ссылки, строить DAG и выдавать CFG_DEPENDENCY_CYCLE до изменения NX.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
ARCH-005;P2;Подтверждено кодом;Core / Configuration;Core содержит прямые файловые и environment-зависимости в статических классах.;"ProfileLoader.cs; VariableExpander.cs; CommandRequest.cs";Скрытый I/O усложняет unit-тесты и воспроизводимость.;Оставить удобные фасады, но внедрить IProfileStore, IAtomicFileWriter, IEnvironmentReader в orchestration layer.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
CFG-001;P1;Подтверждено кодом;Core / Validation;JSON Schema не загружается и не выполняется.;"ProfileValidator.cs; config/nx-eskd-profile.schema.json";UI и Runtime принимают структурно некорректные поля, пока shallow-validator их не заметит.;"Подключить валидатор Draft 2020-12 или сгенерированные типы; сохранять JSON-path всех ошибок.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
CFG-002;P1;Подтверждено конфигурацией;Schema;Schema допускает любые дополнительные свойства, хотя профиль запрещает неизвестные поля.;"config/nx-eskd-profile.schema.json:115; $.execution.allowUnknownJsonProperties";Опечатки превращаются в молча игнорируемые настройки.;Сделать additionalProperties:false на стабильных объектах и явные extensionData-секции.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
CFG-003;P2;Подтверждено кодом;Core / Configuration;Нет проверки поддерживаемой schemaVersion и миграций.;"ProfileDocument.cs; ProfileValidator.cs";Старый профиль может загрузиться с новой семантикой без предупреждения.;Добавить ProfileVersion, IProfileMigration и пошаговые миграции с резервной копией.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
CFG-004;P1;Подтверждено кодом;Profile contract;"Из 1491 листовых значений профиля 1142 не имеют найденного чтения в C#; ещё 137 читаются только через общий ручной обход.";"config/active-profile.example.json; NxEskd_profile_field_registry.csv";Пользователь считает параметры рабочими, хотя они не влияют на результат.;Ввести field-to-consumer contract test и статус implemented/planned/deprecated в справочнике профиля.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
CFG-005;P2;Подтверждено кодом;Core / Resolution;Заявленный порядок источников и вычисляемых функций реализован частично.;"NxAttributeService.cs; $.valueResolution";Штамп может получить неожиданное значение или пустое поле.;Типизировать ValueSource и реализовать resolver chain с provenance для каждого результата.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
CFG-006;P2;Логический вывод;Profile lifecycle;Один профиль смешивает стандарты, каталоги, организационные настройки, job и Runtime compatibility.;32 top-level sections в active-profile.example.json;Разные владельцы и циклы изменения приводят к конфликтам и сложным ревью.;"Разделить на catalogs/profiles/job с детерминированным merge и immutable resolved-profile; не дробить sheetPlan/job.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
CFG-007;P2;Подтверждено кодом;Validation;Валидация собирает лишь часть ошибок и не проверяет большинство enum/условных зависимостей.;ProfileValidator.cs;Ошибки переносятся в NX Runtime.;Фазы: schema → normalize → semantic refs → capability requirements → NX preflight.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
